pid	region	time	value
1	hpc	1	0.479
1	hpc	2	0.815
1	hpc	3	0.954
1	hpc	4	0.754
1	hpc	5	0.804
1	hpc	6	0.626
1	hpc	7	0.699
1	hpc	8	0.853
1	hpc	9	0.593
1	hpc	10	0.985
1	hpc	11	0.808
1	hpc	12	0.106
1	hpc	13	0.059
1	hpc	14	0.005
1	hpc	15	0.173
1	hpc	16	0.217
1	hpc	17	0.649
1	hpc	18	0.176
1	hpc	19	0.248
1	hpc	20	0.84
1	hpc	21	0.032
1	hpc	22	0.249
1	hpc	23	0.053
1	hpc	24	0.31
1	hpc	25	0.885
1	hpc	26	0.284
1	hpc	27	0.795
1	hpc	28	0.449
1	hpc	29	0.114
1	hpc	30	0.569
1	hpc	31	0.119
1	hpc	32	0.687
1	hpc	33	0.926
1	hpc	34	0.661
1	hpc	35	0.555
1	hpc	36	0.13
1	hpc	37	0.611
1	hpc	38	0.961
1	hpc	39	0.58
1	hpc	40	0.717
1	hpc	41	0.543
1	hpc	42	0.534
1	hpc	43	0.019
1	hpc	44	0.772
1	hpc	45	0.749
1	hpc	46	0.327
1	hpc	47	0.859
1	hpc	48	0.538
1	hpc	49	0.648
1	hpc	50	0.408
1	hpc	51	0.181
1	hpc	52	0.976
1	hpc	53	0.633
1	hpc	54	0.384
1	hpc	55	0.406
1	hpc	56	0.844
1	hpc	57	0.836
1	hpc	58	0.824
1	hpc	59	0.301
1	hpc	60	0.735
1	hpc	61	0.221
1	hpc	62	0.93
1	hpc	63	0.85
1	hpc	64	0.042
1	hpc	65	0.989
1	hpc	66	0.477
1	hpc	67	0.647
1	hpc	68	0.943
1	hpc	69	0.413
1	hpc	70	0.54
1	hpc	71	0.354
1	hpc	72	0.223
1	hpc	73	0.287
1	hpc	74	0.32
1	hpc	75	0.686
1	hpc	76	0.134
1	hpc	77	0.492
1	hpc	78	0.996
1	hpc	79	0.088
1	hpc	80	0.289
1	hpc	81	0.247
1	hpc	82	0.755
1	hpc	83	0.598
1	hpc	84	0.624
1	hpc	85	0.562
1	hpc	86	0.362
1	hpc	87	0.312
1	hpc	88	0.804
1	hpc	89	0.383
1	hpc	90	0.531
1	hpc	91	0.971
1	hpc	92	0.398
1	hpc	93	0.05
1	hpc	94	0.998
1	hpc	95	0.97
1	hpc	96	0.861
1	hpc	97	0.562
1	hpc	98	0.183
1	hpc	99	0.724
1	hpc	100	0.695
1	hpc	101	0.236
1	hpc	102	0.184
1	hpc	103	0.895
1	hpc	104	0.312
1	hpc	105	0.784
1	hpc	106	0.211
1	hpc	107	0.84
1	hpc	108	0.062
1	hpc	109	0.177
1	hpc	110	0.852
1	hpc	111	0.104
1	hpc	112	0.84
1	hpc	113	0.248
1	hpc	114	0.094
1	hpc	115	0.464
1	hpc	116	0.946
1	hpc	117	0.294
1	hpc	118	0.957
1	hpc	119	0.534
1	hpc	120	0.423
1	hpc	121	0.701
1	hpc	122	0.71
1	hpc	123	0.391
1	hpc	124	0.604
1	hpc	125	0.653
1	hpc	126	0.787
1	hpc	127	0.778
1	hpc	128	0.982
1	hpc	129	0.873
1	hpc	130	0.274
1	hpc	131	0.221
1	hpc	132	0.255
1	hpc	133	0.528
1	hpc	134	0.045
1	hpc	135	0.758
1	hpc	136	0.551
1	hpc	137	0.766
1	hpc	138	0.989
1	hpc	139	0.726
1	hpc	140	0.581
1	hpc	141	0.289
1	hpc	142	0.341
1	hpc	143	0.539
1	hpc	144	0.944
1	hpc	145	0.056
1	hpc	146	0.428
1	hpc	147	0.544
1	hpc	148	0.564
1	hpc	149	0.853
1	hpc	150	0.221
1	hpc	151	0.134
1	hpc	152	0.257
1	hpc	153	0.237
1	hpc	154	0.634
1	hpc	155	0.056
1	hpc	156	0.211
1	hpc	157	0.937
1	hpc	158	0.546
1	hpc	159	0.047
1	hpc	160	0.473
1	hpc	161	0.609
1	hpc	162	0.289
1	hpc	163	0.157
